id,cat,subcat,subsubcat,name,diesel_Lha,diesel_galac
23098,tillage,surface,shallow,"coulter caddy, double gang, fluted coulters",3.2738733,0.3582310208994419
23099,tillage,surface,shallow,"coulter caddy, fluted coulters",3.2738733,0.3582310208994419
23100,tillage,surface,shallow,"coulter caddy, smooth coulters",3.2738733,0.3582310208994419
23101,tillage,surface,shallow,"coulter tiller, 10 degree, coiled tine har, rlng bskt",7.9508357,0.8699896815844183
23102,tillage,surface,shallow,"coulter tiller, spike harrow",7.9508357,0.8699896815844183
23103,tillage,surface,shallow,"harrow, coiled tine weeder",4.1157265,0.4503475763212605
23104,tillage,surface,shallow,"harrow, coiled tine",4.1157265,0.4503475763212605
23105,tillage,surface,shallow,"harrow, disk chain",3.7415698,0.4094069154174417
23106,tillage,surface,shallow,"harrow, heavy on heavy residue",3.2738733,0.3582310208994419
23107,tillage,surface,shallow,"harrow, heavy",4.1157265,0.4503475763212605
23108,tillage,surface,shallow,"harrow, rolling",5.3317366,0.5834048145311302
23109,tillage,surface,shallow,"harrow, rotary paddle wheel and spike gangs",6.828365,0.7471676332202647
23110,tillage,surface,shallow,"harrow, rotary, light, fluff fragile residue",4.1157265,0.4503475763212605
23111,tillage,surface,shallow,"harrow, rotary, light, fluff residue",4.1157265,0.4503475763212605
23112,tillage,surface,shallow,"harrow, rotary",4.1157265,0.4503475763212605
23113,tillage,surface,shallow,"harrow, spike tooth, cover seed",3.1803343,0.3479958748221906
23114,tillage,surface,shallow,"harrow, spike tooth",3.1803343,0.3479958748221906
23115,tillage,surface,shallow,"harrow, tine, on beds",2.0578632,0.22517378268957214
23116,tillage,surface,shallow,land plane,8.418531,0.9211654447970236
23117,tillage,surface,shallow,laser land leveler,8.418531,0.9211654447970236
23118,tillage,surface,shallow,mulch treader,3.2738733,0.3582310208994419
23119,tillage,surface,shallow,pasture renovator,4.4898834,0.4912882591093117
23120,tillage,surface,shallow,"residue conditioner, coil tine har, rlng bskt",7.0154433,0.767637958201116
23121,tillage,surface,shallow,"rodweeder, harrow, spike tooth",5.892972,0.6448158441842652
23122,tillage,surface,shallow,rodweeder,4.3028054,0.47081796695480893
23123,tillage,surface,shallow,roller harrow,5.6123548,0.6141103840682788
23124,tillage,surface,shallow,"roller, corrugated packer 6 by 16",2.338481,0.2558793084582558
23125,tillage,surface,shallow,"roller, corrugated packer",2.338481,0.2558793084582558
23126,tillage,surface,shallow,"roller, smooth",2.338481,0.2558793084582558
23127,tillage,surface,shallow,rolling basket incorporator,2.338481,0.2558793084582558
23128,tillage,surface,shallow,rotary hoe,2.338481,0.2558793084582558
23129,tillage,surface,shallow,"rototiller, field",19.64324,2.1493861472808837
23130,tillage,surface,shallow,spader,14.030887,1.5352759601706967
