value,category,count,acreage,year,county
47,misc vegs & fruits,72323,16084.2,2010,all counties
48,watermelons,9257,2058.7,2010,all counties
49,onions,19223,4275.1,2010,all counties
53,peas,29748,6615.8,2010,all counties
54,tomatoes,603082,134122.2,2010,all counties
57,herbs,8192,1821.9,2010,all counties
58,clover/wildflowers,248413,55245.7,2010,all counties
59,sod/grass seed,42549,9462.7,2010,all counties
61,fallow/idle cropland,5137188,1142483.1,2010,all counties
63,forest,6601,1468,2010,all counties
66,cherries,107484,23903.9,2010,all counties
67,peaches,72216,16060.5,2010,all counties
68,apples,8077,1796.3,2010,all counties
69,grapes,1748835,388931.5,2010,all counties
71,other tree crops,111565,24811.5,2010,all counties
72,citrus,70281,15630.1,2010,all counties
74,pecans,4338,964.7,2010,all counties
75,almonds,4170583,927515.3,2010,all counties
76,walnuts,1659008,368954.5,2010,all counties
87,wetlands,17102,3803.4,2010,all counties
92,aquaculture,354,78.7,2010,all counties
111,open water,5703550,1268439,2010,all counties
112,perennial ice/snow,37811,8409,2010,all counties
121,developed/open space,12607218,2803777.8,2010,all counties
122,developed/low intensity,6833241,1519676.2,2010,all counties
123,developed/medium intensity,6983341,1553057.7,2010,all counties
124,developed/high intensity,1700766,378241.3,2010,all counties
131,barren,20143571,4479822.4,2010,all counties
141,deciduous forest,1699417,377941.2,2010,all counties
142,evergreen forest,93338930,20758078.4,2010,all counties
143,mixed forest,7142504,1588454.7,2010,all counties
152,shrubland,171990939,38249864.1,2010,all counties
176,grass/pasture,85628214,19043256.4,2010,all counties
190,woody wetlands,736145,163714.7,2010,all counties
195,herbaceous wetlands,1443982,321133.9,2010,all counties
204,pistachios,783002,174135.5,2010,all counties
205,triticale,129165,28725.6,2010,all counties
206,carrots,25496,5670.2,2010,all counties
207,asparagus,3047,677.6,2010,all counties
208,garlic,28895,6426.1,2010,all counties
209,cantaloupes,108983,24237.2,2010,all counties
210,prunes,373683,83105.1,2010,all counties
211,olives,388903,86489.9,2010,all counties
212,oranges,833016,185258.3,2010,all counties
214,broccoli,209,46.5,2010,all counties
216,peppers,4834,1075.1,2010,all counties
217,pomegranates,90658,20161.9,2010,all counties
218,nectarines,9822,2184.4,2010,all counties
220,plums,76382,16986.9,2010,all counties
221,strawberries,157540,35036.1,2010,all counties
222,squash,2764,614.7,2010,all counties
223,apricots,14854,3303.5,2010,all counties
224,vetch,15304,3403.5,2010,all counties
225,dbl crop winwht/corn,207112,46060.6,2010,all counties
226,dbl crop oats/corn,406467,90396.1,2010,all counties
227,lettuce,115815,25756.6,2010,all counties
229,pumpkins,924,205.5,2010,all counties
230,dbl crop lettuce/durum wht,16987,3777.8,2010,all counties
232,dbl crop lettuce/cotton,256,56.9,2010,all counties
235,dbl crop barley/sorghum,859,191,2010,all counties
236,dbl crop winwht/sorghum,8665,1927,2010,all counties
237,dbl crop barley/corn,719,159.9,2010,all counties
242,blueberries,2225,494.8,2010,all counties
244,cauliflower,1184,263.3,2010,all counties
250,cranberries,61,13.6,2010,all counties
1,corn,1285904,285978.2,2012,all counties
2,cotton,1817982,404309.5,2012,all counties
3,rice,2623391,583428.1,2012,all counties
4,sorghum,35689,7937,2012,all counties
6,sunflowers,271351,60347,2012,all counties
12,sweet corn,25570,5686.6,2012,all counties
14,mint,8016,1782.7,2012,all counties
21,barley,469351,104381.1,2012,all counties
22,durum wheat,616223,137044.7,2012,all counties
23,spring wheat,78728,17508.7,2012,all counties
24,winter wheat,2417643,537670.9,2012,all counties
25,other small grains,1546,343.8,2012,all counties
27,rye,51509,11455.3,2012,all counties
28,oats,752066,167255.5,2012,all counties
31,canola,1955,434.8,2012,all counties
33,safflower,235664,52410.4,2012,all counties
36,alfalfa,5145473,1144325.7,2012,all counties
37,other hay/non alfalfa,1662993,369840.7,2012,all counties
38,camelina,12784,2843.1,2012,all counties
41,sugarbeets,154248,34303.9,2012,all counties
42,dry beans,118923,26447.8,2012,all counties
43,potatoes,113465,25234,2012,all counties
44,other crops,60199,13387.9,2012,all counties
46,sweet potatoes,53532,11905.2,2012,all counties
47,misc vegs & fruits,120995,26908.6,2012,all counties
48,watermelons,40404,8985.6,2012,all counties
49,onions,184078,40938,2012,all counties
50,cucumbers,3356,746.4,2012,all counties
52,lentils,428,95.2,2012,all counties
53,peas,29095,6470.6,2012,all counties
54,tomatoes,1526716,339533.5,2012,all counties
55,caneberries,1360,302.5,2012,all counties
57,herbs,14932,3320.8,2012,all counties
58,clover/wildflowers,246182,54749.6,2012,all counties
59,sod/grass seed,17871,3974.4,2012,all counties
61,fallow/idle cropland,7148557,1589800.8,2012,all counties
66,cherries,158863,35330.3,2012,all counties
67,peaches,43042,9572.3,2012,all counties
68,apples,14069,3128.9,2012,all counties
69,grapes,4125411,917469.3,2012,all counties
71,other tree crops,43029,9569.4,2012,all counties
72,citrus,145171,32285.3,2012,all counties
74,pecans,5799,1289.7,2012,all counties
75,almonds,5191046,1154460.8,2012,all counties
76,walnuts,1524824,339112.7,2012,all counties
77,pears,43368,9644.8,2012,all counties
92,aquaculture,3234,719.2,2012,all counties
111,open water,6016268,1337985.8,2012,all counties
112,perennial ice/snow,42290,9405.1,2012,all counties
121,developed/open space,13610597,3026923.9,2012,all counties
122,developed/low intensity,7132913,1586321.7,2012,all counties
123,developed/medium intensity,7383210,1641986.4,2012,all counties
124,developed/high intensity,1793570,398880.4,2012,all counties
131,barren,20607299,4582953,2012,all counties
141,deciduous forest,2546314,566286.6,2012,all counties
142,evergreen forest,97658573,21718743.8,2012,all counties
143,mixed forest,9222922,2051128.5,2012,all counties
152,shrubland,183782142,40872164.5,2012,all counties
176,grass/pasture,59725482,13282627.5,2012,all counties
190,woody wetlands,841460,187136.2,2012,all counties
195,herbaceous wetlands,1867041,415219.9,2012,all counties
204,pistachios,899777,200105.6,2012,all counties
205,triticale,141918,31561.8,2012,all counties
206,carrots,102905,22885.5,2012,all counties
207,asparagus,15995,3557.2,2012,all counties
208,garlic,66863,14870,2012,all counties
209,cantaloupes,60496,13454,2012,all counties
211,olives,199497,44367.1,2012,all counties
212,oranges,534392,118845.9,2012,all counties
213,honeydew melons,20412,4539.5,2012,all counties
214,broccoli,14039,3122.2,2012,all counties
216,peppers,21467,4774.1,2012,all counties
217,pomegranates,92862,20652,2012,all counties
218,nectarines,7647,1700.7,2012,all counties
219,greens,32098,7138.4,2012,all counties
220,plums,233428,51913.1,2012,all counties
221,strawberries,142751,31747.1,2012,all counties
222,squash,9083,2020,2012,all counties
223,apricots,13296,2957,2012,all counties
224,vetch,8302,1846.3,2012,all counties
225,dbl crop winwht/corn,926583,206067.1,2012,all counties
226,dbl crop oats/corn,421940,93837.2,2012,all counties
227,lettuce,92918,20664.5,2012,all counties
229,pumpkins,2002,445.2,2012,all counties
230,dbl crop lettuce/durum wht,19587,4356,2012,all counties
231,dbl crop lettuce/cantaloupe,4154,923.8,2012,all counties
232,dbl crop lettuce/cotton,1880,418.1,2012,all counties
235,dbl crop barley/sorghum,6481,1441.3,2012,all counties
236,dbl crop winwht/sorghum,115158,25610.5,2012,all counties
237,dbl crop barley/corn,10402,2313.3,2012,all counties
238,dbl crop winwht/cotton,580,129,2012,all counties
242,blueberries,3544,788.2,2012,all counties
243,cabbage,3532,785.5,2012,all counties
244,cauliflower,5237,1164.7,2012,all counties
245,celery,759,168.8,2012,all counties
246,radishes,299,66.5,2012,all counties
248,eggplants,262,58.3,2012,all counties
1,corn,780595,173600.1,2015,all counties
2,cotton,787648,175168.7,2015,all counties
3,rice,1991318,442858.5,2015,all counties
4,sorghum,74934,16664.9,2015,all counties
6,sunflowers,148199,32958.7,2015,all counties
12,sweet corn,22572,5019.9,2015,all counties
14,mint,7814,1737.8,2015,all counties
21,barley,385317,85692.4,2015,all counties
22,durum wheat,454684,101119.3,2015,all counties
23,spring wheat,75450,16779.7,2015,all counties
24,winter wheat,1964090,436803.1,2015,all counties
25,other small grains,50,11.1,2015,all counties
27,rye,54788,12184.6,2015,all counties
28,oats,554014,123209.7,2015,all counties
29,millet,566,125.9,2015,all counties
31,canola,5507,1224.7,2015,all counties
33,safflower,309619,68857.6,2015,all counties
36,alfalfa,5313453,1181683.5,2015,all counties
37,other hay/non alfalfa,1464999,325807.9,2015,all counties
41,sugarbeets,115364,25656.3,2015,all counties
42,dry beans,103779,23079.9,2015,all counties
43,potatoes,137293,30533.2,2015,all counties
44,other crops,22265,4951.6,2015,all counties
46,sweet potatoes,11609,2581.8,2015,all counties
47,misc vegs & fruits,119561,26589.7,2015,all counties
48,watermelons,33089,7358.8,2015,all counties
49,onions,151634,33722.6,2015,all counties
50,cucumbers,28079,6244.6,2015,all counties
53,peas,23935,5323,2015,all counties
54,tomatoes,1527209,339643.1,2015,all counties
57,herbs,28028,6233.3,2015,all counties
58,clover/wildflowers,172509,38365.1,2015,all counties
59,sod/grass seed,15377,3419.8,2015,all counties
61,fallow/idle cropland,10188553,2265879.6,2015,all counties
66,cherries,85661,19050.5,2015,all counties
67,peaches,18910,4205.5,2015,all counties
68,apples,12548,2790.6,2015,all counties
69,grapes,4329419,962839.6,2015,all counties
70,christmas trees,138,30.7,2015,all counties
71,other tree crops,37428,8323.8,2015,all counties
72,citrus,157150,34949.3,2015,all counties
74,pecans,7262,1615,2015,all counties
75,almonds,6098708,1356320,2015,all counties
76,walnuts,1894363,421296.2,2015,all counties
77,pears,34060,7574.8,2015,all counties
92,aquaculture,16779,3731.6,2015,all counties
111,open water,5687109,1264782.6,2015,all counties
112,perennial ice/snow,38054,8463,2015,all counties
121,developed/open space,13486151,2999247.8,2015,all counties
122,developed/low intensity,7024477,1562206.1,2015,all counties
123,developed/medium intensity,8105827,1802692.5,2015,all counties
124,developed/high intensity,2031012,451686.2,2015,all counties
131,barren,20997672,4669769.8,2015,all counties
141,deciduous forest,2440878,542838.2,2015,all counties
142,evergreen forest,94929166,21111738.3,2015,all counties
143,mixed forest,8020025,1783610.6,2015,all counties
152,shrubland,195854709,43557038.8,2015,all counties
176,grass/pasture,49959866,11110806.7,2015,all counties
190,woody wetlands,648751,144278.7,2015,all counties
195,herbaceous wetlands,1978375,439980,2015,all counties
204,pistachios,1070958,238175.3,2015,all counties
205,triticale,221473,49254.4,2015,all counties
206,carrots,118681,26394,2015,all counties
207,asparagus,2301,511.7,2015,all counties
208,garlic,72344,16088.9,2015,all counties
209,cantaloupes,49504,11009.4,2015,all counties
211,olives,136512,30359.5,2015,all counties
212,oranges,916288,203777.5,2015,all counties
213,honeydew melons,17495,3890.8,2015,all counties
214,broccoli,12591,2800.2,2015,all counties
216,peppers,19655,4371.2,2015,all counties
217,pomegranates,82528,18353.8,2015,all counties
218,nectarines,7176,1595.9,2015,all counties
219,greens,69197,15389,2015,all counties
220,plums,107210,23842.9,2015,all counties
221,strawberries,138863,30882.4,2015,all counties
222,squash,5531,1230.1,2015,all counties
224,vetch,2692,598.7,2015,all counties
225,dbl crop winwht/corn,584792,130054.6,2015,all counties
226,dbl crop oats/corn,339514,75506.1,2015,all counties
227,lettuce,62800,13966.4,2015,all counties
229,pumpkins,2836,630.7,2015,all counties
236,dbl crop winwht/sorghum,90199,20059.8,2015,all counties
237,dbl crop barley/corn,5014,1115.1,2015,all counties
242,blueberries,513,114.1,2015,all counties
243,cabbage,513,114.1,2015,all counties
244,cauliflower,1132,251.8,2015,all counties
246,radishes,1765,392.5,2015,all counties
248,eggplants,186,41.4,2015,all counties
1,corn,536269,119263.4,2017,all counties
2,cotton,1211057,269332.6,2017,all counties
3,rice,2044507,454687.4,2017,all counties
4,sorghum,44334,9859.6,2017,all counties
6,sunflowers,232194,51638.7,2017,all counties
13,pop or orn corn,1270,282.4,2017,all counties
14,mint,5441,1210,2017,all counties
21,barley,553952,123196,2017,all counties
22,durum wheat,11329,2519.5,2017,all counties
23,spring wheat,44781,9959.1,2017,all counties
24,winter wheat,2364130,525769.9,2017,all counties
27,rye,61576,13694.2,2017,all counties
28,oats,524879,116730.3,2017,all counties
31,canola,4223,939.2,2017,all counties
33,safflower,313297,69675.6,2017,all counties
35,mustard,29,6.4,2017,all counties
36,alfalfa,5366900,1193569.8,2017,all counties
37,other hay/non alfalfa,1671323,371693.3,2017,all counties
41,sugarbeets,42673,9490.2,2017,all counties
42,dry beans,116384,25883.2,2017,all counties
43,potatoes,23697,5270.1,2017,all counties
44,other crops,36700,8161.9,2017,all counties
46,sweet potatoes,34497,7671.9,2017,all counties
47,misc vegs & fruits,5147,1144.7,2017,all counties
48,watermelons,60440,13441.5,2017,all counties
49,onions,256085,56951.9,2017,all counties
50,cucumbers,36930,8213,2017,all counties
53,peas,8573,1906.6,2017,all counties
54,tomatoes,654100,145468.3,2017,all counties
57,herbs,31289,6958.5,2017,all counties
58,clover/wildflowers,180319,40102,2017,all counties
59,sod/grass seed,82129,18265,2017,all counties
61,fallow/idle cropland,7338402,1632021.3,2017,all counties
66,cherries,130036,28919.3,2017,all counties
67,peaches,37327,8301.3,2017,all counties
68,apples,783,174.1,2017,all counties
69,grapes,4213439,937046.3,2017,all counties
71,other tree crops,73632,16375.4,2017,all counties
72,citrus,136573,30373.1,2017,all counties
74,pecans,4755,1057.5,2017,all counties
75,almonds,6404793,1424391.7,2017,all counties
76,walnuts,2689197,598063,2017,all counties
77,pears,42803,9519.2,2017,all counties
92,aquaculture,1560,346.9,2017,all counties
111,open water,5776979,1284769.2,2017,all counties
112,perennial ice/snow,37561,8353.4,2017,all counties
121,developed/open space,13501315,3002620.2,2017,all counties
122,developed/low intensity,7059820,1570066.2,2017,all counties
123,developed/medium intensity,8144525,1811298.8,2017,all counties
124,developed/high intensity,2016420,448441,2017,all counties
131,barren,21066682,4685117.3,2017,all counties
141,deciduous forest,2147000,477481.3,2017,all counties
142,evergreen forest,94757913,21073652.6,2017,all counties
143,mixed forest,7897826,1756434.2,2017,all counties
152,shrubland,196341650,43665331.9,2017,all counties
176,grass/pasture,49892175,11095752.6,2017,all counties
190,woody wetlands,651542,144899.5,2017,all counties
195,herbaceous wetlands,1978009,439898.6,2017,all counties
204,pistachios,2088571,464487,2017,all counties
205,triticale,214439,47690.1,2017,all counties
206,carrots,155329,34544.3,2017,all counties
207,asparagus,866,192.6,2017,all counties
208,garlic,89637,19934.8,2017,all counties
209,cantaloupes,148285,32977.8,2017,all counties
211,olives,174555,38820.1,2017,all counties
212,oranges,876415,194910,2017,all counties
213,honeydew melons,37950,8439.9,2017,all counties
214,broccoli,31572,7021.4,2017,all counties
216,peppers,18840,4189.9,2017,all counties
217,pomegranates,176218,39189.9,2017,all counties
218,nectarines,14168,3150.9,2017,all counties
219,greens,119797,26642.2,2017,all counties
220,plums,267283,59442.3,2017,all counties
221,strawberries,64675,14383.4,2017,all counties
222,squash,5587,1242.5,2017,all counties
224,vetch,57494,12786.4,2017,all counties
225,dbl crop winwht/corn,1134648,252339.6,2017,all counties
226,dbl crop oats/corn,287418,63920.2,2017,all counties
227,lettuce,64371,14315.8,2017,all counties
229,pumpkins,6577,1462.7,2017,all counties
231,dbl crop lettuce/cantaloupe,1127,250.6,2017,all counties
232,dbl crop lettuce/cotton,408,90.7,2017,all counties
236,dbl crop winwht/sorghum,132003,29356.8,2017,all counties
237,dbl crop barley/corn,12785,2843.3,2017,all counties
238,dbl crop winwht/cotton,8866,1971.8,2017,all counties
242,blueberries,454,101,2017,all counties
243,cabbage,9689,2154.8,2017,all counties
244,cauliflower,5386,1197.8,2017,all counties
245,celery,78,17.3,2017,all counties
1,corn,704446,156665,2022,all counties
2,cotton,739718,164509.3,2022,all counties
3,rice,1227977,273095.5,2022,all counties
4,sorghum,33876,7533.8,2022,all counties
6,sunflowers,178498,39697,2022,all counties
12,sweet corn,37355,8307.6,2022,all counties
13,pop or orn corn,370,82.3,2022,all counties
14,mint,9003,2002.2,2022,all counties
21,barley,373155,82987.7,2022,all counties
22,durum wheat,194184,43185.5,2022,all counties
23,spring wheat,60128,13372.1,2022,all counties
24,winter wheat,2571969,571992.1,2022,all counties
27,rye,152697,33959,2022,all counties
28,oats,579855,128956.6,2022,all counties
31,canola,686,152.6,2022,all counties
32,flaxseed,211,46.9,2022,all counties
33,safflower,377822,84025.6,2022,all counties
35,mustard,267,59.4,2022,all counties
36,alfalfa,4331477,963297.3,2022,all counties
37,other hay/non alfalfa,1802711,400913.3,2022,all counties
41,sugarbeets,154806,34428,2022,all counties
42,dry beans,39915,8876.9,2022,all counties
43,potatoes,71975,16006.9,2022,all counties
44,other crops,65742,14620.7,2022,all counties
46,sweet potatoes,28292,6292,2022,all counties
47,misc vegs & fruits,194073,43160.8,2022,all counties
48,watermelons,36014,8009.3,2022,all counties
49,onions,166160,36953.1,2022,all counties
50,cucumbers,24845,5525.4,2022,all counties
51,chick peas,10433,2320.2,2022,all counties
52,lentils,8,1.8,2022,all counties
53,peas,7492,1666.2,2022,all counties
54,tomatoes,1206486,268316,2022,all counties
57,herbs,15334,3410.2,2022,all counties
58,clover/wildflowers,224964,50030.8,2022,all counties
59,sod/grass seed,39609,8808.8,2022,all counties
61,fallow/idle cropland,5461203,1214542.3,2022,all counties
66,cherries,325649,72422.6,2022,all counties
67,peaches,220642,49069.6,2022,all counties
68,apples,84220,18730.1,2022,all counties
69,grapes,3993881,888217.8,2022,all counties
70,christmas trees,5156,1146.7,2022,all counties
71,other tree crops,87956,19560.9,2022,all counties
72,citrus,1347502,299677.2,2022,all counties
74,pecans,11827,2630.3,2022,all counties
75,almonds,8354651,1858029.7,2022,all counties
76,walnuts,2265739,503888.2,2022,all counties
77,pears,45937,10216.1,2022,all counties
92,aquaculture,1018,226.4,2022,all counties
111,open water,5871680,1305830.2,2022,all counties
112,perennial ice/snow,52474,11669.9,2022,all counties
121,developed/open space,12140809,2700050.9,2022,all counties
122,developed/low intensity,7178537,1596468.2,2022,all counties
123,developed/medium intensity,9318756,2072441.4,2022,all counties
124,developed/high intensity,3110967,691862.4,2022,all counties
131,barren,22011609,4895264,2022,all counties
141,deciduous forest,593273,131940.7,2022,all counties
142,evergreen forest,92009524,20462425.6,2022,all counties
143,mixed forest,6429285,1429838.6,2022,all counties
152,shrubland,197967716,44026960.3,2022,all counties
176,grass/pasture,49856180,11087747.5,2022,all counties
190,woody wetlands,839894,186787.9,2022,all counties
195,herbaceous wetlands,3245738,721834.8,2022,all counties
204,pistachios,2945823,655135.3,2022,all counties
205,triticale,497779,110703.4,2022,all counties
206,carrots,111973,24902.2,2022,all counties
208,garlic,138827,30874.4,2022,all counties
209,cantaloupes,39598,8806.4,2022,all counties
210,prunes,319730,71106.2,2022,all counties
211,olives,316038,70285.2,2022,all counties
212,oranges,57208,12722.8,2022,all counties
213,honeydew melons,12989,2888.7,2022,all counties
214,broccoli,25099,5581.9,2022,all counties
215,avocados,204203,45413.7,2022,all counties
216,peppers,18060,4016.4,2022,all counties
217,pomegranates,148641,33057,2022,all counties
218,nectarines,11326,2518.8,2022,all counties
219,greens,71304,15857.6,2022,all counties
220,plums,291046,64727.1,2022,all counties
221,strawberries,26786,5957.1,2022,all counties
222,squash,4771,1061,2022,all counties
224,vetch,245,54.5,2022,all counties
225,dbl crop winwht/corn,655743,145833.7,2022,all counties
226,dbl crop oats/corn,198433,44130.4,2022,all counties
227,lettuce,128318,28537.2,2022,all counties
228,dbl crop triticale/corn,306636,68194.2,2022,all counties
229,pumpkins,10638,2365.8,2022,all counties
231,dbl crop lettuce/cantaloupe,163,36.3,2022,all counties
236,dbl crop winwht/sorghum,44910,9987.7,2022,all counties
237,dbl crop barley/corn,5442,1210.3,2022,all counties
238,dbl crop winwht/cotton,2674,594.7,2022,all counties
242,blueberries,3285,730.6,2022,all counties
243,cabbage,7391,1643.7,2022,all counties
244,cauliflower,7932,1764,2022,all counties
245,celery,940,209.1,2022,all counties
248,eggplants,335,74.5,2022,all counties
1,corn,2050,1588.6,2007,imperial
2,cotton,811,628.5,2007,imperial
4,sorghum,266,206.1,2007,imperial
12,sweet corn,21,16.3,2007,imperial
21,barley,458,354.9,2007,imperial
22,durum wheat,80747,62572.6,2007,imperial
28,oats,2616,2027.2,2007,imperial
31,canola,553,428.5,2007,imperial
36,alfalfa,241154,186875.5,2007,imperial
37,other hay/non alfalfa,8210,6362.1,2007,imperial
41,sugarbeets,654,506.8,2007,imperial
45,sugarcane,140,108.5,2007,imperial
47,misc vegs & fruits,1261,977.2,2007,imperial
48,watermelons,477,369.6,2007,imperial
49,onions,907,702.9,2007,imperial
57,herbs,1393,1079.5,2007,imperial
59,sod/grass seed,587,454.9,2007,imperial
61,fallow/idle cropland,47696,36960.7,2007,imperial
111,open water,256706,198927.1,2007,imperial
121,developed/open space,27536,21338.2,2007,imperial
122,developed/low intensity,65378,50662.8,2007,imperial
123,developed/medium intensity,13940,10802.4,2007,imperial
124,developed/high intensity,1504,1165.5,2007,imperial
131,barren,917291,710828.8,2007,imperial
141,deciduous forest,43,33.3,2007,imperial
142,evergreen forest,90,69.7,2007,imperial
143,mixed forest,10,7.7,2007,imperial
152,shrubland,1861630,1442617.7,2007,imperial
176,grass/pasture,139893,108406.1,2007,imperial
190,woody wetlands,25477,19742.7,2007,imperial
195,herbaceous wetlands,888,688.1,2007,imperial
206,carrots,566,438.6,2007,imperial
2,cotton,6750,1501.2,2010,imperial
21,barley,13,2.9,2010,imperial
22,durum wheat,380562,84635,2010,imperial
27,rye,1162,258.4,2010,imperial
28,oats,2846,632.9,2010,imperial
36,alfalfa,796584,177156,2010,imperial
37,other hay/non alfalfa,418049,92971.9,2010,imperial
43,potatoes,15435,3432.7,2010,imperial
47,misc vegs & fruits,5,1.1,2010,imperial
49,onions,4436,986.5,2010,imperial
54,tomatoes,105,23.4,2010,imperial
59,sod/grass seed,3,0.7,2010,imperial
61,fallow/idle cropland,255107,56734.4,2010,imperial
72,citrus,5,1.1,2010,imperial
75,almonds,2,0.4,2010,imperial
111,open water,900103,200178.1,2010,imperial
121,developed/open space,85787,19078.6,2010,imperial
122,developed/low intensity,202858,45114.5,2010,imperial
123,developed/medium intensity,49374,10980.5,2010,imperial
124,developed/high intensity,6162,1370.4,2010,imperial
131,barren,3323192,739060.1,2010,imperial
141,deciduous forest,355,79,2010,imperial
142,evergreen forest,2969,660.3,2010,imperial
143,mixed forest,340,75.6,2010,imperial
152,shrubland,6241176,1388004.1,2010,imperial
176,grass/pasture,2475,550.4,2010,imperial
190,woody wetlands,91004,20238.8,2010,imperial
195,herbaceous wetlands,3344,743.7,2010,imperial
206,carrots,5648,1256.1,2010,imperial
209,cantaloupes,18805,4182.1,2010,imperial
212,oranges,4,0.9,2010,imperial
220,plums,2,0.4,2010,imperial
227,lettuce,64390,14320,2010,imperial
230,dbl crop lettuce/durum wht,16971,3774.3,2010,imperial
232,dbl crop lettuce/cotton,27,6,2010,imperial
244,cauliflower,1184,263.3,2010,imperial
1,corn,8701,1935.1,2012,imperial
2,cotton,18231,4054.5,2012,imperial
6,sunflowers,717,159.5,2012,imperial
12,sweet corn,5486,1220.1,2012,imperial
21,barley,256,56.9,2012,imperial
22,durum wheat,475780,105810.9,2012,imperial
24,winter wheat,457,101.6,2012,imperial
25,other small grains,88,19.6,2012,imperial
27,rye,3881,863.1,2012,imperial
28,oats,6021,1339,2012,imperial
31,canola,450,100.1,2012,imperial
36,alfalfa,674278,149955.8,2012,imperial
